,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
203.0,7:30p,Chicago Bulls,117,Brooklyn Nets,122,Box Score,,"12,726",
204.0,8:00p,New Orleans Pelicans,121,Houston Rockets,116,Box Score,,"18,055",
205.0,8:30p,Phoenix Suns,124,San Antonio Spurs,126,Box Score,,"18,121",
206.0,10:30p,Philadelphia 76ers,121,Los Angeles Lakers,105,Box Score,,"18,997",
207.0,7:30p,Charlotte Hornets,94,Boston Celtics,126,Box Score,,"18,624",
208.0,7:30p,Chicago Bulls,105,Miami Heat,89,Box Score,,"19,600",
209.0,7:30p,Dallas Mavericks,114,New York Knicks,90,Box Score,,"18,842",
210.0,8:00p,Memphis Grizzlies,97,Minnesota Timberwolves,99,Box Score,OT,"13,615",
211.0,8:00p,Denver Nuggets,105,New Orleans Pelicans,99,Box Score,,"14,211",
212.0,8:00p,Indiana Pacers,89,Washington Wizards,107,Box Score,,"15,354",
213.0,10:00p,Atlanta Hawks,113,Sacramento Kings,135,Box Score,,"17,583",
214.0,10:30p,Utah Jazz,105,Portland Trail Blazers,132,Box Score,,"19,393",
215.0,7:00p,Dallas Mavericks,89,Detroit Pistons,93,Box Score,,"14,075",
216.0,7:00p,Indiana Pacers,100,Orlando Magic,107,Box Score,,"16,625",
217.0,8:00p,Milwaukee Bucks,105,Toronto Raptors,92,Box Score,,"19,800",
218.0,8:30p,Brooklyn Nets,114,San Antonio Spurs,117,Box Score,,"18,057",
219.0,10:30p,Philadelphia 76ers,113,Golden State Warriors,104,Box Score,,"19,596",
220.0,10:30p,Los Angeles Lakers,123,Los Angeles Clippers,120,Box Score,OT,"19,068",
