,0.0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
118.0,"Thu, Apr 25, 2019",8:00p,Denver Nuggets,103,San Antonio Spurs,120,Box Score,,"18,354",
119.0,"Fri, Apr 26, 2019",10:00p,Golden State Warriors,129,Los Angeles Clippers,110,Box Score,,"19,068",
120.0,"Sat, Apr 27, 2019",7:30p,Philadelphia 76ers,95,Toronto Raptors,108,Box Score,,"19,800",
121.0,"Sat, Apr 27, 2019",10:00p,San Antonio Spurs,86,Denver Nuggets,90,Box Score,,"19,725",
122.0,"Sun, Apr 28, 2019",1:00p,Boston Celtics,112,Milwaukee Bucks,90,Box Score,,"17,561",
123.0,"Sun, Apr 28, 2019",3:30p,Houston Rockets,100,Golden State Warriors,104,Box Score,,"19,596",
124.0,"Mon, Apr 29, 2019",8:00p,Philadelphia 76ers,94,Toronto Raptors,89,Box Score,,"19,800",
125.0,"Mon, Apr 29, 2019",10:30p,Portland Trail Blazers,113,Denver Nuggets,121,Box Score,,"19,520",
126.0,"Tue, Apr 30, 2019",8:00p,Boston Celtics,102,Milwaukee Bucks,123,Box Score,,"17,536",
127.0,"Tue, Apr 30, 2019",10:30p,Houston Rockets,109,Golden State Warriors,115,Box Score,,"19,596",
