,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
134.0,8:00p,Golden State Warriors,117,Minnesota Timberwolves,107,Box Score,,"17,964",
135.0,10:00p,Brooklyn Nets,123,Sacramento Kings,121,Box Score,,"17,583",
136.0,10:30p,Indiana Pacers,109,Los Angeles Clippers,115,Box Score,,"16,043",
137.0,7:00p,Milwaukee Bucks,102,Cleveland Cavaliers,107,Box Score,,"19,432",
138.0,7:00p,New Orleans Pelicans,96,Orlando Magic,119,Box Score,,"17,005",
139.0,7:00p,Boston Celtics,115,Philadelphia 76ers,118,Box Score,,"20,606",
140.0,7:30p,Utah Jazz,137,New York Knicks,116,Box Score,,"18,530",
141.0,8:00p,Washington Wizards,120,Chicago Bulls,126,Box Score,OT,"19,470",
142.0,8:00p,Houston Rockets,125,Memphis Grizzlies,126,Box Score,OT,"16,691",
143.0,8:30p,Miami Heat,110,San Antonio Spurs,105,Box Score,,"18,354",
144.0,9:30p,Toronto Raptors,123,Oklahoma City Thunder,114,Box Score,OT,"18,203",
145.0,10:00p,Dallas Mavericks,118,Portland Trail Blazers,126,Box Score,,"19,803",
146.0,7:00p,Minnesota Timberwolves,106,Charlotte Hornets,113,Box Score,,"15,576",
147.0,7:00p,Denver Nuggets,113,Washington Wizards,108,Box Score,,"15,986",
148.0,7:30p,Utah Jazz,114,Atlanta Hawks,117,Box Score,,"15,569",
149.0,10:00p,Detroit Pistons,118,Phoenix Suns,98,Box Score,,"16,066",
150.0,10:00p,Dallas Mavericks,100,Sacramento Kings,116,Box Score,,"17,583",
151.0,10:30p,Indiana Pacers,89,Golden State Warriors,112,Box Score,,"19,596",
152.0,7:00p,Memphis Grizzlies,119,Orlando Magic,123,Box Score,OT,"18,025",
153.0,7:30p,Los Angeles Clippers,110,Cleveland Cavaliers,108,Box Score,,"19,432",
154.0,7:30p,Denver Nuggets,111,New York Knicks,93,Box Score,,"19,290",
155.0,7:30p,Oklahoma City Thunder,116,Toronto Raptors,109,Box Score,,"20,014",
156.0,8:00p,San Antonio Spurs,105,Houston Rockets,111,Box Score,,"18,055",
157.0,8:30p,Miami Heat,87,Milwaukee Bucks,116,Box Score,,"18,094",
158.0,10:30p,Brooklyn Nets,111,Los Angeles Lakers,106,Box Score,,"18,997",
159.0,6:00p,Boston Celtics,117,Charlotte Hornets,124,Box Score,,"19,438",
160.0,7:00p,Miami Heat,113,Washington Wizards,108,Box Score,,"20,409",
161.0,7:30p,Philadelphia 76ers,127,Atlanta Hawks,129,Box Score,,"16,640",
162.0,8:00p,Utah Jazz,114,Chicago Bulls,83,Box Score,,"20,506",
163.0,8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,99,Box Score,,"16,977",
164.0,8:30p,Dallas Mavericks,126,Golden State Warriors,91,Box Score,,"19,596",
165.0,10:00p,Detroit Pistons,112,Portland Trail Blazers,117,Box Score,,"19,815",
166.0,10:00p,Phoenix Suns,103,Sacramento Kings,112,Box Score,,"17,583",
167.0,12:00p,Los Angeles Clippers,124,New York Knicks,113,Box Score,,"18,263",
168.0,4:30p,Cleveland Cavaliers,105,Milwaukee Bucks,127,Box Score,,"17,930",
169.0,5:00p,Denver Nuggets,88,Indiana Pacers,124,Box Score,,"17,923",
170.0,6:00p,Charlotte Hornets,115,Toronto Raptors,114,Box Score,,"19,800",
171.0,7:00p,Houston Rockets,113,New Orleans Pelicans,90,Box Score,,"17,048",
172.0,7:30p,San Antonio Spurs,115,Boston Celtics,96,Box Score,,"18,624",
173.0,8:30p,Detroit Pistons,114,Golden State Warriors,121,Box Score,,"19,596",
174.0,9:30p,Sacramento Kings,106,Los Angeles Lakers,111,Box Score,,"18,997",
175.0,7:00p,Philadelphia 76ers,98,Orlando Magic,119,Box Score,,"16,848",
176.0,8:00p,Oklahoma City Thunder,103,Memphis Grizzlies,115,Box Score,,"15,144",
177.0,9:00p,Phoenix Suns,92,Utah Jazz,125,Box Score,,"18,306",
178.0,10:00p,Brooklyn Nets,144,Portland Trail Blazers,148,Box Score,2OT,"20,188",
179.0,7:00p,San Antonio Spurs,116,Charlotte Hornets,125,Box Score,OT,"14,227",
180.0,7:00p,Boston Celtics,116,Cleveland Cavaliers,106,Box Score,,"19,432",
181.0,7:30p,Orlando Magic,104,Miami Heat,99,Box Score,,"19,704",
182.0,7:30p,Chicago Bulls,103,Toronto Raptors,112,Box Score,,"19,800",
183.0,8:00p,Houston Rockets,94,Milwaukee Bucks,108,Box Score,,"17,910",
184.0,8:00p,Los Angeles Clippers,122,Minnesota Timberwolves,111,Box Score,,"13,176",
185.0,8:00p,Atlanta Hawks,130,New Orleans Pelicans,120,Box Score,,"14,751",
186.0,8:30p,Sacramento Kings,125,Dallas Mavericks,121,Box Score,,"20,168",
187.0,9:00p,Detroit Pistons,92,Denver Nuggets,95,Box Score,,"19,520",
188.0,10:30p,Washington Wizards,106,Los Angeles Lakers,124,Box Score,,"18,997",
189.0,8:00p,Portland Trail Blazers,118,Chicago Bulls,98,Box Score,,"20,227",
190.0,8:00p,Golden State Warriors,118,Memphis Grizzlies,103,Box Score,,"17,794",
191.0,8:00p,Indiana Pacers,99,Oklahoma City Thunder,107,Box Score,,"18,203",
192.0,10:00p,Washington Wizards,124,Phoenix Suns,121,Box Score,,"16,004",
193.0,10:30p,Los Angeles Lakers,100,Utah Jazz,115,Box Score,,"18,306",
